model,mode,degradation_pct,label,class_name,precision,recall,f1
baseline,random,75,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,random,75,14,Outlook,1.0000,1.0000,1.0000
baseline,random,75,15,Facetime,0.9901,1.0000,0.9950
baseline,random,75,16,Tinba,0.9980,0.9940,0.9960
baseline,random,75,17,FTP,0.9823,1.0000,0.9911
baseline,random,75,18,Htbot,0.9563,0.4820,0.6410
baseline,random,75,19,Skype,1.0000,1.0000,1.0000
baseline,random,100,0,Shifu,0.9960,0.9960,0.9960
baseline,random,100,1,Geodo,0.9967,0.6060,0.7537
baseline,random,100,2,BitTorrent,0.9709,1.0000,0.9852
baseline,random,100,3,Gmail,0.9225,1.0000,0.9597
baseline,random,100,4,Neris,0.7775,0.7200,0.7477
baseline,random,100,5,SMB,0.9945,0.7260,0.8393
baseline,random,100,6,Nsis-ay,0.4315,0.8940,0.5820
baseline,random,100,7,Cridex,1.0000,0.6500,0.7879
baseline,random,100,8,Zeus,0.8744,0.6960,0.7751
baseline,random,100,9,Miuref,0.8730,0.7560,0.8103
baseline,random,100,10,MySQL,1.0000,0.9940,0.9970
baseline,random,100,11,Virut,0.4105,0.7020,0.5181
baseline,random,100,12,Weibo,0.7955,0.9100,0.8489
baseline,random,100,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,random,100,14,Outlook,1.0000,1.0000,1.0000
baseline,random,100,15,Facetime,1.0000,0.9980,0.9990
baseline,random,100,16,Tinba,0.9980,0.9940,0.9960
baseline,random,100,17,FTP,0.9766,1.0000,0.9881
baseline,random,100,18,Htbot,0.9731,0.3620,0.5277
baseline,random,100,19,Skype,1.0000,1.0000,1.0000
baseline,zero,0,0,Shifu,1.0000,1.0000,1.0000
baseline,zero,0,1,Geodo,0.8873,0.9920,0.9367
baseline,zero,0,2,BitTorrent,1.0000,1.0000,1.0000
baseline,zero,0,3,Gmail,1.0000,1.0000,1.0000
baseline,zero,0,4,Neris,0.9256,0.8960,0.9106
baseline,zero,0,5,SMB,1.0000,1.0000,1.0000
baseline,zero,0,6,Nsis-ay,0.9980,0.9800,0.9889
baseline,zero,0,7,Cridex,0.9978,0.8940,0.9430
baseline,zero,0,8,Zeus,0.9980,0.9960,0.9970
baseline,zero,0,9,Miuref,0.8876,0.8840,0.8858
baseline,zero,0,10,MySQL,1.0000,1.0000,1.0000
baseline,zero,0,11,Virut,0.8627,0.9300,0.8951
baseline,zero,0,12,Weibo,1.0000,1.0000,1.0000
baseline,zero,0,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,zero,0,14,Outlook,1.0000,1.0000,1.0000
baseline,zero,0,15,Facetime,1.0000,1.0000,1.0000
baseline,zero,0,16,Tinba,0.9980,0.9940,0.9960
baseline,zero,0,17,FTP,1.0000,1.0000,1.0000
baseline,zero,0,18,Htbot,0.9773,0.9460,0.9614
baseline,zero,0,19,Skype,1.0000,1.0000,1.0000
baseline,zero,25,0,Shifu,0.9980,1.0000,0.9990
baseline,zero,25,1,Geodo,0.9968,0.6220,0.7660
baseline,zero,25,2,BitTorrent,1.0000,1.0000,1.0000
baseline,zero,25,3,Gmail,1.0000,1.0000,1.0000
baseline,zero,25,4,Neris,0.8760,0.8620,0.8690
baseline,zero,25,5,SMB,0.9901,0.9980,0.9940
baseline,zero,25,6,Nsis-ay,0.9387,0.9800,0.9589
baseline,zero,25,7,Cridex,1.0000,0.8740,0.9328
baseline,zero,25,8,Zeus,0.6067,0.9720,0.7471
baseline,zero,25,9,Miuref,0.8699,0.7620,0.8124
